DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
438,19071229,    0,     ,
438,19071230,    0,     ,
438,19071231,    0,     ,
438,19080101,    0,     ,
438,19080102,    0,     ,
438,19080103,    0,     ,
438,19080104,    0,     ,
438,19080105,    0,     ,
438,19080106,    0,     ,
438,19080107,   29,     ,
438,19080108,   86,     ,
438,19080109,   24,     ,
438,19080110,    5,     ,
438,19080111,    0,     ,
438,19080112,    0,     ,
438,19080113,    0,     ,
438,19080114,    0,     ,
438,19080115,    0,     ,
438,19080116,    0,     ,
438,19080117,  152,     ,
438,19080118,    0,     ,
438,19080119,    0,     ,
438,19080120,    3,     ,
438,19080121,    0,     ,
438,19080122,    0,     ,
438,19080123,    0,     ,
438,19080124,    0,     ,
438,19080125,    0,     ,
438,19080126,    7,     ,
438,19080127,   21,     ,
438,19080128,   29,     ,
438,19080129,  108,     ,
438,19080130,    6,     ,
438,19080131,   17,     ,
438,19080201,   41,     ,
438,19080202,   21,     ,
438,19080203,    0,     ,
438,19080204,   96,     ,
438,19080205,    0,     ,
438,19080206,    0,     ,
438,19080207,    0,     ,
438,19080208,    0,     ,
438,19080209,    0,     ,
438,19080210,    2,     ,
438,19080211,    0,     ,
438,19080212,    0,     ,
438,19080213,    0,     ,
438,19080214,    0,     ,
438,19080215,    0,     ,
438,19080216,  140,     ,
438,19080217,    0,     ,
438,19080218,   69,     ,
438,19080219,   39,     ,
438,19080220,    0,     ,
438,19080221,   17,     ,
438,19080222,    0,     ,
438,19080223,   36,     ,
438,19080224,    0,     ,
438,19080225,   45,     ,
438,19080226,   83,     ,
438,19080227,   34,     ,
438,19080228,   28,     ,
438,19080229,   58,     ,
438,19080301,   57,     ,
438,19080302,    3,     ,
438,19080303,   75,     ,
438,19080304,    0,     ,
438,19080305,   25,     ,
438,19080306,    2,     ,
438,19080307,   57,     ,
438,19080308,   35,     ,
